id,language,text,label,scam_type,split
CS-S004,Code-switched,Caller: Aapka account reactivate karne ke liye ek chhoti si processing fee UPI se bhejni hogi.,SCAM,FINANCIAL_REQUEST,train
EN-B009,English,"Person A: I'm a little hungry, should we order something?",BENIGN,BENIGN,train
CS-B013,Code-switched,"Person A: Train late ho gayi hai, mujhe agli train pakadni padegi.",BENIGN,BENIGN,validation
HI-B008,Hindi,"Person A: मेरा फोन चार्ज नहीं है, इसलिए थोड़ी देर से जवाब दूंगा।",BENIGN,BENIGN,train
HI-S006,Hindi,"Caller: कृपया कॉल डिस्कनेक्ट न करें और बैंक शाखा को भी इस बारे में सूचित न करें, वरना जांच प्रभावित होगी।
Person A: क्या मैं अपने पति को बता सकती हूं?
Caller: नहीं, यह पूरी तरह गोपनीय रखना जरूरी है।",SCAM,SECRECY_DEMAND,train
CS-S005,Code-switched,"Caller: Please aapke phone pe aaya OTP mujhe bata dijiye taki verification complete ho sake.
Person A: Pan OTP toh confidential asतो na?
Caller: Hा phakt aamchya system साठी aahे, काळजी karू नका.",SCAM,FINANCIAL_REQUEST,train
HI-S007,Hindi,Caller: आपके खाते को दोबारा सक्रिय करने के लिए एक छोटी सी प्रोसेसिंग फीस यूपीआई से भेजनी होगी।,SCAM,FINANCIAL_REQUEST,train
MR-S016,Marathi,Caller: आज संध्याकाळपर्यंत उत्तर न मिळाल्यास तुमचे वीज कनेक्शन तोडले जाईल.,SCAM,URGENCY_THREAT,test
MR-S002,Marathi,"Caller: हे आयकर विभागाशी संबंधित प्रकरण आहे. तुमच्या पॅन कार्डवर संशयास्पद व्यवहार आढळला आहे.
Person A: मला याबद्दल काहीच माहिती नाही.
Caller: तेच तपासण्यासाठी तुम्हाला या कॉलवर थांबावे लागेल.",SCAM,AUTHORITY_IMPERSONATION,train
CS-S003,Code-switched,Caller: Aaj shaam tak reply nahi mila toh tumcha electricity connection cut ho jayega.,SCAM,URGENCY_THREAT,train
HI-S010,Hindi,Caller: मैं बैंक की फ्रॉड डिपार्टमेंट से बात कर रहा हूं। आपके खाते से जुड़ी एक केस फाइल खोली गई है।,SCAM,AUTHORITY_IMPERSONATION,train
HI-S012,Hindi,Caller: रिफंड प्रोसेस करने के लिए आपको अपना कार्ड नंबर और सीवीवी बताना होगा।,SCAM,FINANCIAL_REQUEST,validation
CS-B010,Code-switched,"Person A: Parcel aaj pahunchne wala hai, aaye toh bata dena.",BENIGN,BENIGN,train
CS-S013,Code-switched,"Caller: Ma'am yeh Income Tax ka matter hai. Aapke PAN card pe suspicious transaction dikha hai.
Person A: Mujhe toh kuch pata hi nahi.
Caller: Bas isiliye verification zaroori hai, call pe rahiye.",SCAM,AUTHORITY_IMPERSONATION,validation
HI-S004,Hindi,"Caller: आपके नाम पर गिरफ्तारी वारंट जारी होने वाला है। इसे रोकने के लिए तुरंत जांच में शामिल होना होगा।
Person A: यह तो बहुत डरावना है, मुझे क्या करना होगा?
Caller: घबराइए मत, बस कॉल पर बने रहिए।",SCAM,URGENCY_THREAT,train
EN-S005,English,"Caller: This case will only be closed once the fine is paid, please make the payment to the number provided.",SCAM,FINANCIAL_REQUEST,train
HI-B002,Hindi,"Person A: मैंने खाना बना लिया है, तुम कब तक आओगे?",BENIGN,BENIGN,train
EN-B008,English,"Person A: My train got delayed, I'll have to catch the next one.",BENIGN,BENIGN,train
CS-S010,Code-switched,"Caller: Yeh inquiry bilkul confidential hai, please family mein kisi ko mat batana.",SCAM,SECRECY_DEMAND,train
MR-S011,Marathi,Caller: हे कस्टम विभागाचे प्रकरण आहे. तुमच्या नावाने पाठवलेले एक पार्सल तपासणीत अडवले गेले आहे.,SCAM,AUTHORITY_IMPERSONATION,train
EN-B010,English,"Person A: The school called saying my child isn't feeling well, I need to go right now.",BENIGN,BENIGN,train
MR-S009,Marathi,"Caller: तुमच्या नावावर अटक वॉरंट जारी होणार आहे. हे थांबवण्यासाठी तात्काळ चौकशीत सहभागी व्हावे लागेल.
Person A: हे तर खूप भीतीदायक आहे, मी काय करू?
Caller: घाबरू नका, फक्त कॉलवर रहा.",SCAM,URGENCY_THREAT,train
CS-S006,Code-switched,"Caller: Sir main Cyber Crime department se bol raha hoon. Aapke naam pe ek complaint aayi hai, isliye cooperate karna padega.",SCAM,AUTHORITY_IMPERSONATION,train
MR-S014,Marathi,"Caller: ही चौकशी पूर्णपणे गोपनीय आहे, कृपया याबद्दल कुटुंबातील कोणालाही सांगू नका.",SCAM,SECRECY_DEMAND,test
CS-B005,Code-switched,"Person A: Kal ki meeting kis time hai, thoda remind kar dena.",BENIGN,BENIGN,train
EN-B014,English,"Person A: I've made dinner, when will you be home?",BENIGN,BENIGN,test
MR-B016,Marathi,"Person A: मला थोडी भूक लागली आहे, काहीतरी ऑर्डर करूया का?",BENIGN,BENIGN,test
HI-B011,Hindi,"Person A: मैंने खुद बैंक को कॉल किया था कार्ड ब्लॉक करने के लिए, उन्होंने कहा प्रक्रिया पूरी होने में कुछ मिनट लगेंगे।",BENIGN,BENIGN,train
HI-B015,Hindi,"Person A: स्कूल से फोन आया कि बच्चे की तबीयत ठीक नहीं है, मुझे अभी जाना होगा।",BENIGN,BENIGN,test
CS-B015,Code-switched,"Person A: Clinic se call aaya tha, appointment 20 minute mein hai, jaldi nikalna hoga.
Person B: Theek hai, main abhi gaadi nikalta hoon.",BENIGN,BENIGN,test
MR-S003,Marathi,"Caller: कृपया तुमच्या फोनवर आलेला OTP मला सांगा जेणेकरून आम्ही पडताळणी पूर्ण करू शकू.
Person A: पण OTP तर गोपनीय असतो ना?
Caller: हा फक्त आमच्या सिस्टीमसाठी आहे, काळजी करू नका.",SCAM,FINANCIAL_REQUEST,train
CS-B007,Code-switched,"Person A: College cha assignment kal submit karायचा aahे, ajun पूर्ण nahi zala.",BENIGN,BENIGN,train
CS-B002,Code-switched,"Person A: Thodi bhookh lagi hai, kuch order kar dete hain kya?",BENIGN,BENIGN,train
MR-S006,Marathi,Caller: मी पोलीस स्टेशनमधून इन्स्पेक्टर बोलतोय. तुमच्या आधार क्रमांकाचा वापर एका बेकायदेशीर कृतीत झाला आहे.,SCAM,AUTHORITY_IMPERSONATION,train
HI-S005,Hindi,"Caller: जुर्माना भरने के बाद ही यह केस बंद होगा, कृपया बताए गए नंबर पर तुरंत भुगतान करें।",SCAM,FINANCIAL_REQUEST,train
HI-B010,Hindi,"Person A: पार्सल आज पहुंचने वाला है, जब आए तो मुझे बता देना।",BENIGN,BENIGN,train
HI-S016,Hindi,"Caller: यह कस्टम विभाग का मामला है। आपके नाम से भेजा गया एक पार्सल जांच में रोका गया है।
Person A: कौन सा पार्सल? मैंने कुछ नहीं भेजा।
Caller: यह वेरिफिकेशन के दौरान ही स्पष्ट होगा।",SCAM,AUTHORITY_IMPERSONATION,test
MR-B010,Marathi,Person A: वीकेंडला कुठेतरी फिरायला जाऊया का?,BENIGN,BENIGN,train
CS-B016,Code-switched,Person A: Weekend pe kahin ghumne chalte hain kya?,BENIGN,BENIGN,test
CS-S009,Code-switched,Caller: Agar next 30 minute mein verification nahi hua toh aapka SIM band ho jayega.,SCAM,URGENCY_THREAT,train
MR-S013,Marathi,"Caller: मी सायबर क्राईम सेलमधून बोलतोय. तुमच्या नावावर एक तक्रार नोंदवली गेली आहे, त्यामुळे चौकशीत सहकार्य करावे लागेल.",SCAM,AUTHORITY_IMPERSONATION,validation
MR-S008,Marathi,"Caller: कृपया कॉल बंद करू नका आणि बँक शाखेलाही याबद्दल कळवू नका, नाहीतर चौकशीवर परिणाम होईल.
Person A: मी माझ्या नवऱ्याला सांगू शकते का?
Caller: नाही, हे पूर्णपणे गुप्त ठेवणे गरजेचे आहे.",SCAM,SECRECY_DEMAND,train
MR-B006,Marathi,"Person A: उद्याची मीटिंग कोणत्या वेळी आहे, जरा आठवण करून दे.",BENIGN,BENIGN,train
CS-S014,Code-switched,"Caller: Tumcha naav war arrest warrant yenar aahe, tyala thambavण्यासाठी abhich inquiry madhe part ghyava lagel.
Person A: Hे toh khup bhitidayak aahe, mi kay karu?
Caller: Ghabru naka, phakt call var raha.",SCAM,URGENCY_THREAT,test
MR-B005,Marathi,"Person A: मी बाजारात जात आहे, काही आणायचं आहे का?",BENIGN,BENIGN,train
